100-2,14.80,-4.92,21.21,-73.5,130.5,24.4,-0.115,-0.344,1.595,39
100-3,1.31,2.00,12.86,-48.1,137.8,125.8,-0.069,-0.388,0.995,36
100-4,-6.57,4.20,27.25,-58.6,119.2,116.2,0.080,-0.135,0.964,38
100-5,-23.51,21.34,32.47,-56.6,91.8,131.8,0.411,-0.394,1.217,64
100-0,-12.82,-0.93,-34.25,40.1,6.7,95.4,0.177,-0.204,0.842,93
100-1,41.42,29.44,-37.19,51.3,103.6,-50.2,0.312,0.328,0.375,26
100-2,12.83,-7.53,18.61,-46.2,37.3,65.4,0.041,0.092,0.695,39
100-3,-0.75,-0.86,9.17,-65.6,60.0,90.9,0.145,0.099,0.530,36
100-4,-8.70,0.92,24.56,-77.4,55.8,76.5,0.144,0.199,0.090,38
100-5,-24.57,18.15,30.79,-60.4,-35.0,31.3,0.033,0.332,-0.086,65
100-0,-12.67,-4.57,-36.07,-95.0,135.2,45.8,-0.578,0.303,0.698,93
100-1,40.95,28.89,-37.27,-125.5,-207.7,32.2,0.063,0.181,-0.423,26
100-2,10.37,-7.53,17.04,-113.7,-211.6,34.6,-0.327,0.189,-2.124,39
100-3,-3.25,-0.51,7.25,-81.0,-202.7,12.7,0.074,0.283,-1.665,36
100-4,-10.96,4.37,22.41,-28.7,-396.2,0.4,0.085,0.286,-1.585,38
100-5,-26.41,27.96,26.33,89.4,-779.7,-27.6,-0.376,0.137,-1.767,65
100-0,-19.41,-2.14,-35.36,-104.0,-364.6,-172.2,-2.050,-0.921,0.092,93
100-1,38.14,43.79,-28.57,-213.0,-639.0,246.6,0.356,-0.890,-0.665,28
100-2,7.86,17.35,19.33,-20.4,-1152.9,8.6,1.178,0.682,-2.298,36
100-3,-3.86,26.39,7.33,0.7,-1334.2,-160.5,1.900,0.563,-2.936,36
100-4,-11.21,37.76,19.79,-16.3,-1491.7,-275.5,2.027,1.043,-2.851,37
100-5,-53.76,68.79,-14.49,113.4,-1609.1,-140.1,2.188,0.798,-1.844,65
100-0,-12.67,29.01,-40.42,448.4,-1194.2,-10.4,-0.971,-0.013,-1.374,93
100-1,53.96,75.10,-3.66,-93.3,-811.9,308.4,1.316,0.360,0.091,31
100-2,28.37,75.95,46.16,-127.9,-1989.3,210.0,4.046,-5.860,-3.541,36
100-3,179.59,84.43,-167.78,35.4,-1985.0,46.9,4.455,-0.807,-2.720,34
100-4,170.35,71.93,-166.44,434.4,-1986.7,-367.7,3.423,-0.486,-3.387,37
